단축코드,한글종목약명,시장구분
005800,신영와코루,KOSPI
001725,신영증권우,KOSPI
001720,신영증권,KOSPI
009275,신원우,KOSPI
009270,신원,KOSPI
002700,신일전자,KOSPI
019175,신풍제약우,KOSPI
019170,신풍제약,KOSPI
002870,신풍제지,KOSPI
055550,신한지주,KOSPI
293940,신한알파리츠,KOSPI
004080,신흥,KOSPI
102280,쌍방울,KOSPI
003410,쌍용C&E,KOSPI
003620,쌍용차,KOSPI
004770,써니전자,KOSPI
015540,쎌마테라퓨틱스,KOSPI
004920,씨아이테크,KOSPI
112610,씨에스윈드,KOSPI
000120,CJ대한통운,KOSPI
079160,CJ CGV,KOSPI
097955,CJ제일제당 우,KOSPI
097950,CJ제일제당,KOSPI
008700,아남전자,KOSPI
002795,아모레G우,KOSPI
00279K,아모레G3우(전환),KOSPI
002790,아모레G,KOSPI
090435,아모레퍼시픽우,KOSPI
090430,아모레퍼시픽,KOSPI
002030,아세아,KOSPI
183190,아세아시멘트,KOSPI
002310,아세아제지,KOSPI
012170,아센디오,KOSPI
267850,아시아나IDT,KOSPI
020560,아시아나항공,KOSPI
122900,아이마켓코리아,KOSPI
010780,아이에스동서,KOSPI
139990,아주스틸,KOSPI
001780,알루코,KOSPI
018250,애경산업,KOSPI
161000,애경유화,KOSPI
011090,에넥스,KOSPI
137310,에스디바이오센서,KOSPI
034120,SBS,KOSPI
005850,에스엘,KOSPI
012750,에스원,KOSPI
004060,SG세계물산,KOSPI
006125,SK디스커버리우,KOSPI
006120,SK디스커버리,KOSPI
068400,SK렌터카,KOSPI
302440,SK바이오사이언스,KOSPI
326030,SK바이오팜,KOSPI
000660,SK하이닉스,KOSPI
023960,에쓰씨엔지니어링,KOSPI
298690,에어부산,KOSPI
078520,에이블씨엔씨,KOSPI
015260,에이엔피,KOSPI
140910,에이리츠,KOSPI
039570,HDC아이콘트롤스,KOSPI
089470,HDC현대EP,KOSPI
082740,HSD엔진,KOSPI
011200,HMM,KOSPI
007460,에이프로젠 MED,KOSPI
003060,에이프로젠제약,KOSPI
244920,에이플러스에셋,KOSPI
036570,엔씨소프트,KOSPI
138250,엔에스쇼핑,KOSPI
380440,엔에이치스팩19호,KOSPI
005945,NH투자증권우,KOSPI
005940,NH투자증권,KOSPI
085310,엔케이,KOSPI
009810,엔케이물산,KOSPI
900140,엘브이엠씨홀딩스,KOSPI
229640,LS전선아시아,KOSPI
108675,LX하우시스우,KOSPI
108670,LX하우시스,KOSPI
38380K,LX홀딩스1우,KOSPI
383800,LX홀딩스,KOSPI
037560,LG헬로비전,KOSPI
097520,엠씨넥스,KOSPI
014440,영보화학,KOSPI
111770,영원무역,KOSPI
009970,영원무역홀딩스,KOSPI
003520,영진약품,KOSPI
000670,영풍,KOSPI
006740,영풍제지,KOSPI
012280,영화금속,KOSPI
012160,영흥,KOSPI
015360,예스코홀딩스,KOSPI
007310,오뚜기,KOSPI
002630,오리엔트바이오,KOSPI
271560,오리온,KOSPI
001800,오리온홀딩스,KOSPI
037270,YG PLUS,KOSPI
011690,와이투솔루션,KOSPI
316140,우리금융지주,KOSPI
033660,우리금융캐피탈,KOSPI
118000,우리들휴브레인,KOSPI
010050,우리종금,KOSPI
006980,우성사료,KOSPI
017370,우신시스템,KOSPI
105840,우진,KOSPI
010400,우진아이엔에스,KOSPI
049800,우진플라임,KOSPI
016880,웅진,KOSPI
095720,웅진씽크빅,KOSPI
005820,원림,KOSPI
010600,웰바이오텍,KOSPI
008600,윌비스,KOSPI
014830,유니드,KOSPI
047400,유니온머티리얼,KOSPI
000910,유니온,KOSPI
011330,유니켐,KOSPI
077500,유니퀘스트,KOSPI
002920,유성기업,KOSPI
000700,유수홀딩스,KOSPI
003475,유안타증권우,KOSPI
003470,유안타증권,KOSPI
072130,유엔젤,KOSPI
000225,유유제약1우,KOSPI
000227,유유제약2우B,KOSPI
000220,유유제약,KOSPI
001200,유진투자증권,KOSPI
000105,유한양행우,KOSPI
000100,유한양행,KOSPI
003465,유화증권우,KOSPI
003460,유화증권,KOSPI
008730,율촌화학,KOSPI
008250,이건산업,KOSPI
025820,이구산업,KOSPI
214320,이노션,KOSPI
088260,이리츠코크렙,KOSPI
139480,이마트,KOSPI
007660,이수페타시스,KOSPI
005950,이수화학,KOSPI
015020,이스타코,KOSPI
093230,이아이디,KOSPI
074610,이엔플러스,KOSPI
102460,이연제약,KOSPI
084680,이월드,KOSPI
350520,이지스레지던스리츠,KOSPI
334890,이지스밸류리츠,KOSPI
000760,이화산업,KOSPI
014990,인디에프,KOSPI
101140,인바이오젠,KOSPI
006490,인스코비,KOSPI
023800,인지컨트롤스,KOSPI
034590,인천도시가스,KOSPI
129260,인터지스,KOSPI
023810,인팩,KOSPI
249420,일동제약,KOSPI
000230,일동홀딩스,KOSPI
013360,일성건설,KOSPI
003120,일성신약,KOSPI
003200,일신방직,KOSPI
007110,일신석재,KOSPI
007575,일양약품우,KOSPI
007570,일양약품,KOSPI
008500,일정실업,KOSPI
081000,일진다이아,KOSPI
020760,일진디스플,KOSPI
020150,일진머티리얼즈,KOSPI
103590,일진전기,KOSPI
015860,일진홀딩스,KOSPI
226320,잇츠한불,KOSPI
317400,자이에스앤디,KOSPI
033240,자화전자,KOSPI
000950,전방,KOSPI
348950,제이알글로벌리츠,KOSPI
194370,제이에스코퍼레이션,KOSPI
025620,제이준코스메틱,KOSPI
036420,제이콘텐트리,KOSPI
030000,제일기획,KOSPI
271980,제일약품,KOSPI
001560,제일연마,KOSPI
002620,제일파마홀딩스,KOSPI
006220,제주은행,KOSPI
089590,제주항공,KOSPI
004910,조광페인트,KOSPI
004700,조광피혁,KOSPI
001550,조비,KOSPI
000480,조선내화,KOSPI
120030,조선선재,KOSPI
018470,조일알미늄,KOSPI
002600,조흥,KOSPI
063160,종근당바이오,KOSPI
185750,종근당,KOSPI
001630,종근당홀딩스,KOSPI
070960,용평리조트,KOSPI
023450,동남합성,KOSPI
002380,KCC,KOSPI
044380,주연테크,KOSPI
024110,기업은행,KOSPI
013890,지누스,KOSPI
001250,GS글로벌,KOSPI
007070,GS리테일,KOSPI
013870,지엠비코리아,KOSPI
071320,지역난방공사,KOSPI
010580,지코,KOSPI
035000,지투알,KOSPI
088790,진도,KOSPI
003780,진양산업,KOSPI
010640,진양폴리,KOSPI
100250,진양홀딩스,KOSPI
051630,진양화학,KOSPI
272450,진에어,KOSPI
011000,진원생명과학,KOSPI
002785,진흥기업우B,KOSPI
002787,진흥기업2우B,KOSPI
002780,진흥기업,KOSPI
009310,참엔지니어링,KOSPI
000650,천일고속,KOSPI
033250,체시스,KOSPI
323410,카카오뱅크,KOSPI
035720,카카오,KOSPI
006380,카프로,KOSPI
109070,컨버즈,KOSPI
001620,케이비아이동국실업,KOSPI
009440,KC그린홀딩스,KOSPI
029460,케이씨,KOSPI
344820,KCC글라스,KOSPI
119650,KC코트렐,KOSPI
281820,케이씨텍,KOSPI
044450,KSS해운,KOSPI
092220,KEC,KOSPI
145270,케이탑리츠,KOSPI
030200,KT,KOSPI
030210,KTB투자증권,KOSPI
053210,스카이라이프,KOSPI
058850,KTcs,KOSPI
058860,KTis,KOSPI
033780,KT&G,KOSPI
357120,코람코에너지리츠,KOSPI
007815,코리아써우,KOSPI
00781K,코리아써키트2우B,KOSPI
007810,코리아써키트,KOSPI
003690,코리안리,KOSPI
192820,코스맥스,KOSPI
044820,코스맥스비티아이,KOSPI
005070,코스모신소재,KOSPI
005420,코스모화학,KOSPI
071950,코아스,KOSPI
002025,코오롱우,KOSPI
003075,코오롱글로벌우,KOSPI
003070,코오롱글로벌,KOSPI
144620,코오롱머티리얼,KOSPI
002020,코오롱,KOSPI
120115,코오롱인더우,KOSPI
120110,코오롱인더,KOSPI
138490,코오롱플라스틱,KOSPI
021240,코웨이,KOSPI
031820,콤텍시스템,KOSPI
192400,쿠쿠홀딩스,KOSPI
284740,쿠쿠홈시스,KOSPI
015590,큐로,KOSPI
26490K,크라운제과우,KOSPI
264900,크라운제과,KOSPI
005745,크라운해태홀딩스우,KOSPI
005740,크라운해태홀딩스,KOSPI
259960,크래프톤,KOSPI
020120,키다리스튜디오,KOSPI
039490,키움증권,KOSPI
014580,태경비케이,KOSPI
015890,태경산업,KOSPI
006890,태경케미컬,KOSPI
003240,태광산업,KOSPI
011280,태림포장,KOSPI
004105,태양금속우,KOSPI
004100,태양금속,KOSPI
009410,태영건설,KOSPI
009415,태영건설우,KOSPI
001420,태원물산,KOSPI
007980,태평양물산,KOSPI
055490,테이팩스,KOSPI
078000,텔코웨어,KOSPI
214420,토니모리,KOSPI
019180,티에이치엔,KOSPI
002900,TYM,KOSPI
36328K,티와이홀딩스우,KOSPI
363280,티와이홀딩스,KOSPI
091810,티웨이항공,KOSPI
004870,티웨이홀딩스,KOSPI
005690,파미셀,KOSPI
036580,팜스코,KOSPI
004720,팜젠사이언스,KOSPI
028670,팬오션,KOSPI
010820,퍼스텍,KOSPI
016800,퍼시스,KOSPI
001020,페이퍼코리아,KOSPI
090080,평화산업,KOSPI
010770,평화홀딩스,KOSPI
058430,포스코강판,KOSPI
005490,POSCO,KOSPI
047050,포스코인터내셔널,KOSPI
003670,포스코케미칼,KOSPI
007630,폴루스바이오팜,KOSPI
017810,풀무원,KOSPI
103140,풍산,KOSPI
005810,풍산홀딩스,KOSPI
950210,프레스티지바이오파마,KOSPI
178920,PI첨단소재,KOSPI
086790,하나금융지주,KOSPI
293480,하나제약,KOSPI
039130,하나투어,KOSPI
172580,하이골드12호,KOSPI
153360,하이골드3호,KOSPI
352820,하이브,KOSPI
071090,하이스틸,KOSPI
019490,하이트론,KOSPI
000087,하이트진로2우B,KOSPI
000080,하이트진로,KOSPI
000145,하이트진로홀딩스우,KOSPI
000140,하이트진로홀딩스,KOSPI
036460,한국가스공사,KOSPI
005430,한국공항,KOSPI
010040,한국내화,KOSPI
025540,한국단자,KOSPI
096300,베트남개발1,KOSPI
004090,한국석유,KOSPI
002200,한국수출포장,KOSPI
002960,한국쉘석유,KOSPI
000240,한국앤컴퍼니,KOSPI
033270,유나이티드제약,KOSPI
123890,한국자산신탁,KOSPI
015760,한국전력,KOSPI
052690,한전기술,KOSPI
006200,한국전자홀딩스,KOSPI
009540,한국조선해양,KOSPI
023350,한국종합기술,KOSPI
025890,한국주강,KOSPI
000970,한국주철관,KOSPI
104700,한국철강,KOSPI
017960,한국카본,KOSPI
161890,한국콜마,KOSPI
024720,한국콜마홀딩스,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
034830,한국토지신탁,KOSPI
152550,한국ANKOR유전,KOSPI
168490,한국패러랠,KOSPI
071055,한국금융지주우,KOSPI
071050,한국금융지주,KOSPI
007280,한국특강,KOSPI
010100,한국프랜지,KOSPI
047810,한국항공우주,KOSPI
123690,한국화장품,KOSPI
003350,한국화장품제조,KOSPI
011500,한농화성,KOSPI
002390,한독,KOSPI
014790,한라,KOSPI
060980,한라홀딩스,KOSPI
053690,한미글로벌,KOSPI
042700,한미반도체,KOSPI
008930,한미사이언스,KOSPI
128940,한미약품,KOSPI
009240,한샘,KOSPI
020000,한섬,KOSPI
003680,한성기업,KOSPI
105630,한세실업,KOSPI
069640,한세엠케이,KOSPI
016450,한세예스24홀딩스,KOSPI
010420,한솔PNS,KOSPI
009180,한솔로지스틱스,KOSPI
213500,한솔제지,KOSPI
014680,한솔케미칼,KOSPI
004710,한솔테크닉스,KOSPI
004150,한솔홀딩스,KOSPI
025750,한솔홈데코,KOSPI
004960,한신공영,KOSPI
011700,한신기계,KOSPI
001755,한양증권우,KOSPI
001750,한양증권,KOSPI
018880,한온시스템,KOSPI
009420,한올바이오파마,KOSPI
014130,한익스프레스,KOSPI
300720,한일시멘트,KOSPI
002220,한일철강,KOSPI
006390,한일현대시멘트,KOSPI
003300,한일홀딩스,KOSPI
051600,한전KPS,KOSPI
130660,한전산업,KOSPI
002320,한진,KOSPI
097230,한진중공업,KOSPI
003480,한진중공업홀딩스,KOSPI
18064K,한진칼우,KOSPI
180640,한진칼,KOSPI
005110,한창,KOSPI
009460,한창제지,KOSPI
372910,한컴라이프케어,KOSPI
000885,한화우,KOSPI
00088K,한화3우B,KOSPI
000880,한화,KOSPI
088350,한화생명,KOSPI
000370,한화손해보험,KOSPI
009835,한화솔루션우,KOSPI
009830,한화솔루션,KOSPI
272210,한화시스템,KOSPI
012450,한화에어로스페이스,KOSPI
003535,한화투자증권우,KOSPI
003530,한화투자증권,KOSPI
195870,해성디에스,KOSPI
101530,해태제과식품,KOSPI
143210,핸즈코퍼레이션,KOSPI
000725,현대건설우,KOSPI
267270,현대건설기계,KOSPI
000720,현대건설,KOSPI
005440,현대그린푸드,KOSPI
086280,현대글로비스,KOSPI
064350,현대로템,KOSPI
079430,현대리바트,KOSPI
012330,현대모비스,KOSPI
010620,현대미포조선,KOSPI
069960,현대백화점,KOSPI
004565,현대비앤지스틸우,KOSPI
004560,현대비앤지스틸,KOSPI
004310,현대약품,KOSPI
322000,현대에너지솔루션,KOSPI
017800,현대엘리베이,KOSPI
307950,현대오토에버,KOSPI
011210,현대위아,KOSPI
267260,현대일렉트릭,KOSPI
005385,현대차우,KOSPI
005387,현대차2우B,KOSPI
005389,현대차3우B,KOSPI
005380,현대차,KOSPI
004020,현대제철,KOSPI
267250,현대중공업지주,KOSPI
001500,현대차증권,KOSPI
011760,현대코퍼레이션,KOSPI
227840,현대코퍼레이션홀딩스,KOSPI
126560,현대퓨처넷,KOSPI
001450,현대해상,KOSPI
057050,현대홈쇼핑,KOSPI
093240,형지엘리트,KOSPI
003010,혜인,KOSPI
111110,호전실업,KOSPI
008775,호텔신라우,KOSPI
008770,호텔신라,KOSPI
002460,화성산업,KOSPI
378850,화승알앤에이,KOSPI
241590,화승엔터프라이즈,KOSPI
006060,화승인더,KOSPI
013520,화승코퍼레이션,KOSPI
010690,화신,KOSPI
133820,화인베스틸,KOSPI
010660,화천기계,KOSPI
000850,화천기공,KOSPI
016580,환인제약,KOSPI
032560,황금에스티,KOSPI
004800,효성,KOSPI
094280,효성ITX,KOSPI
298040,효성중공업,KOSPI
298050,효성첨단소재,KOSPI
298020,효성티앤씨,KOSPI
298000,효성화학,KOSPI
093370,후성,KOSPI
081660,휠라홀딩스,KOSPI
005870,휴니드,KOSPI
079980,휴비스,KOSPI
005010,휴스틸,KOSPI
069260,휴켐스,KOSPI
000545,흥국화재우,KOSPI
000547,흥국화재2우B,KOSPI
000540,흥국화재,KOSPI
003280,흥아해운,KOSPI
